id_encuesta,id_pregunta,respuesta
30,1,4
30,2,5
30,3,4
30,4,2
30,5,2
30,6,3
30,7,2
30,8,2
30,9,4
30,10,3
30,11,3
30,12,2
30,13,2
30,14,1
30,15,3
30,16,3
30,17,2
30,18,3
30,19,5
30,20,4
30,21,3
30,22,3
30,23,5
30,24,4
30,25,4
30,26,4
31,1,4
31,2,4
31,3,1
31,4,2
31,5,3
31,6,5
31,7,5
31,8,4
31,9,5
31,10,4
31,11,1
31,12,1
31,13,5
31,14,2
31,15,4
31,16,4
31,17,3
31,18,1
31,19,2
31,20,5
31,21,5
31,22,5
31,23,5
31,24,4
31,25,3
31,26,5
32,1,3
32,2,4
32,3,3
32,4,4
32,5,4
32,6,4
32,7,2
32,8,3
32,9,4
32,10,2
32,11,4
32,12,2
32,13,4
32,14,2
32,15,4
32,16,4
32,17,2
32,18,3
32,19,2
32,20,1
32,21,3
32,22,2
32,23,5
32,24,1
32,25,1
32,26,4
33,1,3
33,2,3
33,3,3
33,4,3
33,5,3
33,6,3
33,7,3
33,8,3
33,9,3
33,10,3
33,11,3
33,12,3
33,13,3
33,14,3
33,15,3
33,16,3
33,17,3
33,18,3
33,19,3
33,20,3
33,21,3
33,22,3
33,23,3
33,24,3
33,25,3
33,26,3
34,1,4
34,2,4
34,3,3
34,4,2
34,5,5
34,6,4
34,7,3
34,8,3
34,9,4
34,10,2
34,11,3
34,12,1
34,13,4
34,14,2
34,15,3
34,16,4
34,17,2
34,18,3
34,19,1
34,20,1
34,21,2
34,22,4
34,23,4
34,24,2
34,25,1
34,26,4
35,1,4
35,2,5
35,3,1
35,4,5
35,5,4
35,6,5
35,7,5
35,8,4
35,9,4
35,10,3
35,11,4
35,12,4
35,13,5
35,14,4
35,15,4
35,16,4
35,17,5
35,18,1
35,19,4
35,20,4
35,21,4
35,22,5
35,23,5
35,24,2
35,25,2
35,26,4
36,1,4
36,2,5
36,3,4
36,4,2
36,5,4
36,6,5
36,7,2
36,8,4
36,9,5
36,10,2
36,11,1
36,12,3
36,13,4
36,14,3
36,15,2
36,16,3
36,17,2
36,18,2
36,19,1
36,20,1
36,21,4
36,22,3
36,23,5
36,24,2
36,25,1
36,26,5
37,1,2
37,2,5
37,3,3
37,4,3
37,5,5
37,6,4
37,7,4
37,8,4
37,9,4
37,10,4
37,11,4
37,12,2
37,13,4
37,14,2
37,15,4
37,16,4
37,17,4
37,18,3
37,19,3
37,20,2
37,21,4
37,22,3
37,23,5
37,24,3
37,25,2
37,26,5
38,1,4
38,2,4
38,3,3
38,4,4
38,5,5
38,6,5
38,7,3
38,8,2
38,9,3
38,10,4
38,11,4
38,12,3
38,13,4
38,14,2
38,15,1
38,16,3
38,17,1
38,18,4
38,19,1
38,20,1
38,21,1
38,22,1
38,23,5
38,24,1
38,25,1
38,26,5
39,1,3
39,2,4
39,3,5
39,4,2
39,5,4
39,6,4
39,7,2
39,8,2
39,9,4
39,10,4
39,11,2
39,12,1
39,13,4
39,14,1
39,15,1
39,16,4
39,17,1
39,18,5
39,19,2
39,20,1
39,21,1
39,22,2
39,23,5
39,24,1
39,25,1
39,26,3
40,1,3
40,2,1
40,3,1
40,4,2
40,5,4
40,6,4
40,7,4
40,8,3
40,9,1
40,10,4
40,11,4
40,12,1
40,13,1
40,14,1
40,15,3
40,16,3
40,17,1
40,18,1
40,19,4
40,20,4
40,21,4
40,22,4
40,23,5
40,24,1
40,25,1
40,26,4
41,1,2
41,2,3
41,3,4
41,4,2
41,5,4
41,6,4
41,7,2
41,8,2
41,9,4
41,10,3
41,11,3
41,12,1
41,13,4
41,14,2
41,15,3
41,16,4
41,17,1
41,18,4
41,19,2
41,20,1
41,21,2
41,22,2
41,23,5
41,24,1
41,25,1
41,26,4
42,1,4
42,2,4
42,3,3
42,4,4
42,5,4
42,6,4
42,7,3
42,8,3
42,9,4
42,10,4
42,11,1
42,12,3
42,13,4
42,14,4
42,15,2
42,16,4
42,17,4
42,18,4
42,19,2
42,20,3
42,21,3
42,22,2
42,23,5
42,24,2
42,25,2
42,26,4
43,1,4
43,2,5
43,3,4
43,4,2
43,5,5
43,6,4
43,7,2
43,8,5
43,9,4
43,10,2
43,11,3
43,12,4
43,13,3
43,14,2
43,15,3
43,16,4
43,17,1
43,18,3
43,19,1
43,20,1
43,21,2
43,22,4
43,23,3
43,24,1
43,25,1
43,26,4
44,1,4
44,2,5
44,3,3
44,4,3
44,5,4
44,6,5
44,7,5
44,8,4
44,9,3
44,10,3
44,11,4
44,12,3
44,13,5
44,14,4
44,15,4
44,16,4
44,17,4
44,18,2
44,19,3
44,20,2
44,21,4
44,22,4
44,23,5
44,24,2
44,25,1
44,26,5
45,1,4
45,2,4
45,3,4
45,4,2
45,5,5
45,6,4
45,7,2
45,8,2
45,9,4
45,10,4
45,11,5
45,12,2
45,13,4
45,14,2
45,15,2
45,16,3
45,17,2
45,18,2
45,19,2
45,20,2
45,21,2
45,22,4
45,23,5
45,24,2
45,25,1
45,26,4
46,1,3
46,2,5
46,3,3
46,4,3
46,5,5
46,6,5
46,7,4
46,8,3
46,9,4
46,10,3
46,11,2
46,12,2
46,13,4
46,14,3
46,15,4
46,16,4
46,17,5
46,18,5
46,19,2
46,20,3
46,21,4
46,22,3
46,23,5
46,24,3
46,25,3
46,26,4
47,1,2
47,2,5
47,3,5
47,4,1
47,5,4
47,6,5
47,7,1
47,8,1
47,9,5
47,10,5
47,11,4
47,12,5
47,13,5
47,14,1
47,15,2
47,16,3
47,17,1
47,18,4
47,19,2
47,20,1
47,21,1
47,22,1
47,23,5
47,24,1
47,25,1
47,26,5
48,1,3
48,2,5
48,3,5
48,4,1
48,5,2
48,6,5
48,7,4
48,8,4
48,9,5
48,10,3
48,11,2
48,12,4
48,13,5
48,14,2
48,15,2
48,16,4
48,17,4
48,18,5
48,19,2
48,20,2
48,21,4
48,22,5
48,23,5
48,24,1
48,25,1
48,26,5
49,1,2
49,2,5
49,3,1
49,4,5
49,5,1
49,6,5
49,7,5
49,8,5
49,9,4
49,10,3
49,11,4
49,12,3
49,13,5
49,14,4
49,15,5
49,16,5
49,17,5
49,18,2
49,19,3
49,20,4
49,21,5
49,22,5
49,23,4
49,24,5
49,25,1
49,26,4
50,1,4
50,2,5
50,3,2
50,4,5
50,5,1
50,6,5
50,7,4
50,8,4
50,9,3
50,10,5
50,11,1
50,12,1
50,13,5
50,14,4
50,15,2
50,16,5
50,17,5
50,18,3
50,19,4
50,20,5
50,21,5
50,22,5
50,23,5
50,24,3
50,25,2
50,26,5
51,1,4
51,2,5
51,3,4
51,4,2
51,5,3
51,6,4
